,solver,reaction,success,failure
0,coverages,CO_oxidation_ads_ads,0,2
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,0,3
0,coverages,CO_oxidation_ads_ads,0,3
0,numbers_free_xstar,CO_oxidation_ads_ads,0,3
0,coverages,CO_oxidation_ads_ads,0,3
0,numbers_free_xstar,CO_oxidation_ads_ads,0,3
0,coverages,CO_oxidation_ads_ads,0,2
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,1
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,0,2
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,2
0,coverages,CO_oxidation_ads_ads,0,3
0,numbers_free_xstar,CO_oxidation_ads_ads,0,3
0,coverages,CO_oxidation_ads_ads,0,2
0,numbers_free_xstar,CO_oxidation_ads_ads,0,3
0,coverages,CO_oxidation_ads_ads,2,1
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,0,2
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,2
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,2
0,coverages,CO_oxidation_ads_ads,2,1
0,numbers_free_xstar,CO_oxidation_ads_ads,0,3
0,coverages,CO_oxidation_ads_ads,2,1
0,numbers_free_xstar,CO_oxidation_ads_ads,2,2
0,coverages,CO_oxidation_ads_ads,0,2
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,1
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,2
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,2,1
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,1,0
0,coverages,CO_oxidation_ads_ads,2,0
0,numbers_free_xstar,CO_oxidation_ads_ads,1,0
